id	isbn	title	authors	publication_year	
1000	1713221	Are You My Mother?	P.D. Eastman	1960	
1001	2310015	At Bertram's Hotel	Agatha Christie	1965	
1002	2314576	Lord Edgware Dies	Agatha Christie	1933	
1003	2317850	Sleeping Murder	Agatha Christie	1976	
1004	6161413	Ice Station Zebra	Alistair MacLean	1963	
1005	6174426	Windmills of the Gods	Sidney Sheldon	1987	
1006	6174434	The Sands of Time	Sidney Sheldon	1988	
1007	6178715	The Stars Shine Down	Sidney Sheldon	1992	
1008	6178731	Rage of Angels	Sidney Sheldon	1980	
1009	6280560	The Great Divorce	C.S. Lewis	1945	
1010	6280838	Surprised by Joy: The Shape of My Early Life	C.S. Lewis	1955	
1011	6280897	The Four Loves	C.S. Lewis	1960	
1012	6280935	The Problem of Pain	C.S. Lewis	1940	
1013	6280943	Miracles: A Preliminary Study	C.S. Lewis	1947	
1014	6471250	A Stranger in the Mirror	Sidney Sheldon	1976	
1015	6472613	Master of the Game	Sidney Sheldon	1982	
1016	6473296	The Chronicles of Thomas Covenant, the Unbeliever	Stephen R. Donaldson	1977	
1017	6478964	Night Prey	John Sandford	1994	
1018	6479677	If Tomorrow Comes	Sidney Sheldon	1985	
1019	6479758	Executive Orders	Tom Clancy	1996	
1020	6479901	A Storm of Swords: Part 1 Steel and Snow	George R.R. Martin	2000	
1021	6480098	Assassin's Apprentice	Robin Hobb	1995	
1022	6480101	Royal Assassin	Robin Hobb	1996	
1023	6486010	Fool's Errand	Robin Hobb	2001	
1024	6497012	Rise of a Merchant Prince	Raymond E. Feist	1995	
1025	6498523	Hide and Seek	James Patterson	1995	
1026	6498868	The Mad Ship	Robin Hobb	1999	
1027	6499163	Post Captain	Patrick O'Brian	1972	
1028	6499473	Absent in the Spring 	Mary Westmacott, Agatha Christie	1944	
1029	6513220	The Bronze Horseman	Paullina Simons	2001	
1030	6513905	The Dice Man	Luke Rhinehart	1971	
1031	6514944	A Monstrous Regiment of Women	Laurie R. King	1995	
1032	6551815	'Tis: A Memoir	Frank McCourt	1999	
1033	6640613	The Tiger Who Came to Tea	Judith Kerr	1968	
1034	7113803	Murder in Mesopotamia	Agatha Christie	1936	
1035	7117140	Weaveworld	Clive Barker	1987	
1036	7118899	Tatiana and Alexander (The Bronze Horseman, #2)	Paullina Simons	2003	
1037	7119305	Peril at End House	Agatha Christie	1932	
1038	7119356	Appointment with Death	Agatha Christie	1938	
1039	7119550	A Storm of Swords: Part 2 Blood and Gold	George R.R. Martin	2000	
1040	7120680	Hallowe'en Party	Agatha Christie	1969	
1041	7120699	Hercule Poirot's Christmas	Agatha Christie	1938	
1042	7120710	Sad Cypress	Agatha Christie	1940	
1043	7120818	The Big Four	Agatha Christie	1927	
1044	7120842	The Moving Finger	Agatha Christie	1942	
1045	7120982	The Mirror Crack'd from Side to Side	Agatha Christie	1962	
1046	7133618	The Curse of Chalion	Lois McMaster Bujold	2000	
1047	7144350	Collected Works	Oscar Wilde, Merlin Holland	1908	
1048	7148984	The Indian in the Cupboard	Lynne Reid Banks	1980	
1049	7149824	The Yiddish Policemen's Union	Michael Chabon	2007	
1050	7151667	The Man in the Brown Suit	Agatha Christie	1924	
1051	7154615	Unless	Carol Shields	2002	
1052	7157150	Out of the Silent Planet	C.S. Lewis	1938	
1053	7157169	Perelandra	C.S. Lewis	1943	
1054	7157177	That Hideous Strength	C.S. Lewis	1945	
1055	7158475	Fox in Socks	Dr. Seuss	1965	
1056	7158491	Hop on Pop	Dr. Seuss	1963	
1057	7158505	The Sneetches and Other Stories	Dr. Seuss	1961	
1058	7158513	I Can Read with My Eyes Shut!	Dr. Seuss	1978	
1059	7162219	Big Bang: The Origin of the Universe	Simon Singh	2004	
1060	7162499	Tatiana and Alexander (The Bronze Horseman, #2)	Paullina Simons	2006	
1061	7165161	The Sands of Time	Sidney Sheldon	1985	
1062	7169914	Mr. Brown Can Moo! Can You?	Dr. Seuss	1970	
1063	7169922	And to Think That I Saw It on Mulberry Street	Dr. Seuss	1937	
1064	7169957	There's a Wocket in My Pocket	Dr. Seuss	1974	
1065	7169973	Ten Apples Up on Top	Theo LeSieg, Roy McKie	1961	
1066	7173040	How the Grinch Stole Christmas!	Dr. Seuss	1957	
1067	7173687	One Fish, Two Fish, Red Fish, Blue Fish	Dr. Seuss	1960	
1068	7174160	A Bear Called Paddington	Michael Bond, Peggy Fortnum	1958	
1069	7175191	Horton Hatches the Egg	Dr. Seuss	1940	
1070	7178379	Remarkable Creatures	Tracy Chevalier	2009	
1071	7189885	Purple Hibiscus	Chimamanda Ngozi Adichie	2003	
1072	7191324	The Winter Rose	Jennifer Donnelly	2008	
1073	7191480	... Then He Ate My Boy Entracers	Louise Rennison	2005	
1074	7198914	A Place Called Here	Cecelia Ahern	2006	
1075	7201095	Ya-Yas in Bloom	Rebecca Wells	2005	
1076	7201788	Bones of the Hills	Conn Iggulden	2008	
1077	7202326	The Last Battle	C.S. Lewis	1956	
1078	7203116	Dean Koontz's Frankenstein: Dead and Alive	Dean Koontz	2009	
1079	7205236	Angela's Ashes: A Memoir	Frank McCourt	1996	
1080	7208006	The Tea Rose	Jennifer Donnelly	2002	
1081	7230206	Wolf Hall	Hilary Mantel	2009	
1082	7233701	The Book of Tomorrow	Cecelia Ahern	2009	
1083	7235801	Ser Como o Rio que Flui	Paulo Coelho	2000	
1084	7236344	Damaged	Cathy Glass	2007	
1085	7240198	Bad Science: Quacks, Hacks, and Big Pharma Flacks	Ben Goldacre	2008	
1086	7245823	A Vintage Affair	Isabel Wolff	2009	
1087	7246226	The Children of Húrin	J.R.R. Tolkien, Christopher Tolkien, Alan Lee	2007	
1088	7251866	A Bruxa de Portobello	Paulo Coelho	2006	
1089	7256752	Victory of Eagles (Temeraire, #5)	Naomi Novik	2008	
1090	7271212	Azincourt 	Bernard Cornwell	2008	
1091	7273746	The Dragon Keeper	Robin Hobb	2009	
1092	7284977	The Gift	Cecelia Ahern	2008	
1093	7288387	I Heart New York	Lindsey Kelk	2009	
1094	7302142	The Faceless Ones	Derek Landy	2008	
1095	7311001	Last Night at Chateau Marmont	Lauren Weisberger	2010	
